project_id,correlation,forks_mean,contributor_mean,commits_mean,commit_comment_mean,req_opened_mean,req_closed_mean,req_merged_mean,req_other_mean,issue_mean,issue_comment_mean,watchers_mean
26714,p-value,1.302725078653048e-05,1.7510858067885897e-08,4.8624340371990085e-08,0.785832487069935,2.0924298618087935e-09,2.6029684294603275e-09,1.1510910888088702e-09,0.5063038024087549,4.4562004166640304e-10,4.32958897548403e-06,0.19680059161371558
26871,p-value,5.279409377634771e-07,1.0714394575633197e-15,0.001214611185036889,3.823523612669102e-11,0.001092840243114859,0.005026034689180395,9.764760730132237e-05,nan,0.012283710261397976,0.07743007700954312,0.1386485593921008
27142,p-value,0.03895581511834839,0.00015063655245369564,0.01122775240226694,0.35018922077745246,0.025714404696416865,0.02002789638843513,0.019707957452158257,0.00480875357170242,0.06063033802122194,0.023428715442298867,0.6792126588427538
27252,p-value,0.00782014588282238,0.000513792528321642,6.936602774155218e-11,nan,0.032741171712171016,0.032741171712171016,nan,nan,0.032741171712171016,0.04472894529632902,0.008954090811295697
27293,p-value,5.555337467015768e-06,6.206815226070001e-05,2.457377486403639e-08,0.4309159859478314,3.2459431518259274e-09,9.095241844541351e-05,1.9573944869375707e-12,0.2566542159036566,7.586764412640351e-10,0.00042450869885234517,0.1826178380288552
27329,p-value,2.0293148297181173e-10,1.3170708111821364e-05,5.089350250229845e-07,0.006186737814517796,7.03072270222832e-16,5.899747605902033e-17,3.4747164195694595e-09,0.6312552102493248,2.5212843633417717e-20,1.2493106702249705e-11,0.28079576447067717
27344,p-value,0.009687945118156138,0.0008484513979235485,0.0002576921465031499,0.2554906181111076,5.665679495322158e-08,2.8704997789392954e-08,0.0011755192536707722,0.36397378222441384,0.00045954286350258244,0.004010802558439519,0.4704367129750087
27427,p-value,0.001334473665753335,5.9543659314154886e-08,0.00040583205562089424,0.03386607492591813,1.8205198290200562e-08,4.29128674082402e-07,1.8431924953180024e-11,2.287774269081554e-09,2.007939119788409e-06,0.0006980891774090452,0.0019369570253321231
27480,p-value,0.0022498416976649074,1.0099978165190414e-10,1.7260700006381554e-06,0.9101764119906339,3.7336813228597923e-17,4.7147946908943215e-15,8.547210050659423e-14,1.5281112233632522e-05,7.764621631743926e-11,1.1715927486654416e-11,0.03618751569251211
27521,p-value,0.03535635285056253,0.04154134149972686,9.75352767482914e-09,nan,0.8841718585221437,0.8841718585221437,nan,nan,0.8841718585221437,0.9187336981227789,0.9000365648477567
27597,p-value,0.0005342436820401472,2.60969347292631e-16,1.4102743524010424e-21,nan,5.705292607789808e-38,1.5319364643870253e-24,8.272285910846935e-23,4.1936525953651534e-14,2.107984112566859e-30,1.5424476791414422e-24,0.00015209061058249268
27972,p-value,2.1313074237796907e-05,7.901615212850871e-17,6.66854173526408e-17,nan,2.374378063078762e-12,8.806242519151262e-12,3.6815732270548713e-09,0.0014818505527397533,6.652764430843451e-13,7.722331715909047e-09,0.00034304640805103514
28000,p-value,0.9754336719582426,0.22180328617377,1.093104282133733e-09,2.890504035018089e-06,0.235883228217304,0.25868015564979563,0.0009936591938220897,0.05560626142359911,0.22279133993274675,0.4581932080053125,0.15361285244903625
28204,p-value,4.460163181889882e-08,0.0012678986799095806,2.443393130446305e-06,0.865439723113991,4.3791016795420925e-07,1.5985121287148014e-07,8.881364247515429e-09,0.04941688140212569,1.1063596592149131e-10,0.00013944435930464286,0.7447403565247521
28437,p-value,3.2430226088901574e-05,7.503122209306127e-06,0.000558149824695744,0.2783132385055564,1.800463374534501e-05,2.583004497893673e-06,8.33572580859399e-06,0.006235376889452941,0.0095738865713086,0.00014666768304849066,0.3948381533708005
28467,p-value,0.00257627330686059,0.00016531463841338464,4.9236143841346285e-05,nan,2.7879082665932867e-08,0.00012479794603473607,4.000138964411793e-06,0.0001735273219127918,2.2568262037026737e-07,0.047062208069865635,0.246874042119126
28473,p-value,7.445110330566144e-05,5.794207198078011e-05,2.0104718266468315e-11,0.039476620739065445,8.392854053751687e-12,1.104723320886632e-09,0.00014944927679327104,0.9357578548514858,4.816932424615124e-10,3.0740573845308588e-06,0.00015375112129220825
29253,p-value,0.002084911228703449,0.002453310134275796,4.4590165674660335e-10,0.0037817612742376164,0.12154415616481316,0.11658769679327874,0.04564080306244674,0.43917204267481097,0.0020375669804963263,0.21718248666158094,0.5047635993269334
29340,p-value,0.0016260558201355126,6.713764626846506e-10,4.4555929971273883e-10,nan,4.944586640882789e-07,9.517314990964795e-06,0.00036081771521503605,0.35341058131597863,1.3463648767582728e-05,0.011550618490621641,0.36373935021776965
29520,p-value,0.07991960898488439,1.1553307173869157e-14,1.0855484090330376e-11,0.4220440353117766,1.339337245744952e-08,2.446483301639827e-10,3.279136596841934e-12,0.044605726027754276,4.6860008147089836e-09,0.0001736970913886436,0.5356979642330465
29527,p-value,0.07939127379148166,1.3727149959418228e-07,9.0394723627587e-08,0.017998649203611577,3.7943950100461174e-08,5.107644878612478e-05,0.030592940358665336,0.12962425698114385,1.1466619067367622e-07,0.00032126882029827694,0.09179518742903528
29641,p-value,2.4937855094452692e-05,0.0009800533779741256,1.2650479041594914e-05,0.000592224829033476,2.2015696870546443e-07,0.00018288877951597038,7.381311705682385e-05,0.11486358963487324,9.17677427038849e-06,0.0007001456963898498,5.2068455294189155e-06
29844,p-value,3.3527363815611974e-05,0.007915574903145558,0.00012163502417755998,nan,1.7861834519001912e-09,3.297268622850972e-08,1.5694072825639115e-14,0.7669211139978362,4.380571354931317e-08,0.00020617959600254315,0.9668699128124678
30222,p-value,8.423674343652451e-08,3.28991909200564e-05,0.005667703038671979,nan,0.005122202734270986,5.558594797338115e-05,0.035345096124786694,0.4819314330410001,0.00014819114758543483,7.927479477442949e-06,2.1029776066394065e-05
30420,p-value,1.0091115480401809e-07,1.8371733939427243e-12,3.176651017783951e-12,1.6796773817347215e-05,1.337688849975431e-12,2.458733643247774e-09,2.723721102684111e-10,0.8684021050235988,1.3566866582941902e-10,1.2846173630339709e-12,0.9641173325285693
30738,p-value,1.1591299698559967e-06,2.443674747804676e-09,2.5573022165103997e-06,nan,1.891910544834266e-05,1.7081993826897752e-06,1.4122767699058093e-07,0.8421821614070897,0.0010289380227729364,1.8419540732772527e-05,0.577982944795448
