project_id,correlation,forks_mean,contributor_mean,commits_mean,commit_comment_mean,req_opened_mean,req_closed_mean,req_merged_mean,req_other_mean,issue_mean,issue_comment_mean,watchers_mean
64836,cor,0.40340604782304124,0.7285399513881415,0.8221648514241872,0.09388761734149446,0.6245674957127578,0.5988243777751702,0.32009533974406945,0.6699149347948926,0.5064867024576096,0.7185357140166633,0.35956793163490264
65187,cor,0.4481044252122341,0.604915789783902,0.6747801135044825,nan,0.5271092595534173,0.4768880516453835,0.4552969930830089,0.5410561995239181,0.5583534748168286,0.5999201882142804,0.01926962627029577
65941,cor,0.6686589164646711,0.5832011023936507,0.6936243446639876,0.2945643652559497,0.7730284894253355,0.790122462846447,0.2609885579405436,0.0038463171025173238,0.6992979682777614,0.733284397781649,0.43221907764501194
66033,cor,0.595429303722314,0.7328404136338043,0.7348542388713437,0.24268031472428672,0.798240431895996,0.7962216695418106,0.8358390905334169,0.1471219840694771,0.8533062640236614,0.34827328314553063,0.4500645077631358
66175,cor,0.3549486227655798,0.5345133716583975,0.5922197683139618,0.1801132155472653,0.8045587145813772,0.7955534738744389,0.7245437016959786,0.05937190533582443,0.8230110737641575,0.46061149707986676,0.02282507755144074
67206,cor,0.24328902530784352,0.5939451935650908,0.7646323308728775,0.14983095832934704,0.19250789424735795,0.3284382871963052,0.21016528741924925,0.11900184989278793,0.32487699369585477,0.43079001772303227,-0.25631450468507355
67400,cor,0.19921140897630119,0.263871530079874,0.5412356841668586,0.15885964954013146,0.6763197885954298,0.513670309856141,0.8417083538238875,0.7835821927183051,0.774348532046862,0.19292363607048563,-0.10948774145181481
67524,cor,0.14326202305316613,0.6598122412634385,0.6233804543602223,0.7901757500712739,0.8016862929161777,0.8246782876287682,0.8452129305146774,0.4187945972559386,0.5357528511440116,0.4878297925777281,0.26658252706768465
67585,cor,0.6175110838572004,0.7401757469642165,0.6673334959351672,0.06271264440019847,0.5284133772358623,0.480160687643193,0.29552780118443134,0.6135530178207508,0.5289490425195945,0.44426503869736633,0.20676635304277918
69206,cor,-0.00936551077749398,0.12401733381464655,0.42091856570828484,0.18387987894730182,-0.17587144813598293,-0.17384974508211692,nan,-0.11018551954829033,-0.17587144813598293,-0.1267302571519464,-0.14990475783663748
69511,cor,-0.34670638290026545,0.3477762932333708,0.6518006419067783,0.16156479266736415,-0.07803091596213216,-0.00960495979046826,0.13952319200677896,-0.021502084291331075,0.817496207874253,-0.11084328401447952,-0.5004625883677594
69663,cor,0.5565193700514806,0.6624268902292587,0.854256326326041,0.7358032941463166,0.6078109129902141,0.6218379718493272,0.6259916284907961,0.11246686094387776,0.6121785740817242,0.5545374601263156,0.502957039367827
70476,cor,0.19728371226664537,0.5807605581974736,0.700987748100484,0.489856842160871,0.2763142240596666,0.20184757268949452,0.07478032870659611,0.2571687423669403,0.4134864970010341,0.3923706166722621,-0.1379886809317795
70692,cor,0.6125071105271387,0.6225966834942741,0.6659795720787985,0.21032676424432248,0.21027453866636445,0.17901494144331334,nan,nan,0.21027453866636445,0.01447200271461712,-0.026700137876398484
71128,cor,0.2825510276185062,0.7987055287786908,0.8765300693971454,0.21600096620907308,0.7260383681534008,0.730580406241641,0.6660726300836062,0.2181203607231766,0.7229892548790255,0.30659028502833113,0.3449480415510054
71334,cor,-0.004405139242023024,0.5576617653631522,0.8724442722196216,0.5429504532558597,0.5865611376867635,0.6092908564689172,0.7321374724432684,0.21812333607802042,0.5823716936572406,0.30902302321038144,-0.15424922880539918
71363,cor,0.18086447315952967,0.8484212212913816,0.9414600211305645,nan,0.16170045263056262,0.11656612520599853,0.05360660322802624,0.09895639482682037,0.7021334028199135,0.708741277050449,-0.21566611597628438
71570,cor,0.4994553548798876,0.7103344096339927,0.7379392502134048,0.3722091687673294,0.6781585628328931,0.6382644225967871,0.6160187911272869,0.2103670455109232,0.7852302659001635,0.6873023892851148,0.3610040238268675
72067,cor,0.7729629959271025,0.6199103460875555,0.5547095747608447,nan,0.6755799866289883,0.5691803426453445,0.43939792714939135,nan,0.7259117821851765,0.5608790028981792,0.47453135402512564
72251,cor,0.19190653257506957,0.6230223770484608,0.7656761389339937,-0.01133563372456007,0.6512170529494337,0.6239948866565498,0.5772484801528783,0.05226625136948326,0.40189208555401695,0.24916476281159744,-0.25158547286955124
72832,cor,0.3874905069548413,0.5688605667145957,0.7370890556678187,0.4325508858060251,0.0874072537527265,0.15346647919247286,0.0782628186930817,0.27804303265609426,0.4194404404802663,0.21133483016837473,0.29113423050141624
74212,cor,0.8187523951319561,0.41452625827431455,0.166055601716821,0.07501478555383838,0.9187830839785779,0.5433169676477475,0.7189105000190924,0.025820178536226392,0.861094289072972,0.6512622722439821,0.7996349012934952
75605,cor,0.08435647729492732,0.699215459420385,0.7212484423876359,0.26894075699703707,0.4045406537188158,0.4145018027917857,0.35972688438857653,nan,0.4374913250113468,0.24805286130995152,0.22123343349915528
75796,cor,0.44484349620609087,0.5402621507079818,0.6513067400048194,0.44688703429038457,0.45044866220813845,0.48637252287145655,0.42778184375792894,nan,0.5080313553314346,0.6215243826702155,0.06200273783207979
76122,cor,0.4191542376283667,0.5533485412740434,0.2720076400688713,nan,0.40387435736529165,0.5087989364681734,0.5589945957909813,0.04251126549540803,0.25678785606442595,0.2472889152385766,0.09358299573468222
78029,cor,0.23528333931517562,0.6588495981693995,0.6027565191117737,0.5569207485732446,0.7381751775074096,0.7401594509349851,0.8105598995020513,0.11823081183814521,0.7049555432566975,0.6436142607164282,0.06919635203867264
78397,cor,0.5006776220236397,0.6445424998639485,0.46851560842509593,-0.08245783474838314,0.6429590208030043,0.6440535429214757,0.40330771078641936,0.1656498767517468,0.48998507610674935,0.41538236286497,0.5793291543658668
81748,cor,-0.061990447970360366,0.6836251803004212,0.839357866212132,0.14684056293026895,0.27074545329534355,0.20414591513037383,0.3389240068031107,-0.08370039739794921,0.2681181835506853,0.06480444139432898,0.15177880616035358
82195,cor,0.1197984569841962,0.7863850346008636,0.679173365400437,0.36972576590882417,0.9643034954390537,0.9470270357544645,0.9254904189920043,0.4473959974189262,0.9564384880044807,0.8992153337178536,0.4995661499531328
82515,cor,0.4977793106487482,0.7130384575432327,0.7061333808693987,0.05417608203224145,0.7885945072199125,0.7537134748369885,0.8108958758715081,0.4802700012788331,0.7360174577440932,0.4531957163892288,0.23113351932538823
83157,cor,-0.06746487767912564,-0.4346451698712976,0.8060072927473682,-0.016370777136815545,0.0682347389441121,0.08686033346765125,0.7595334386585215,0.3386008875567782,0.08488158893711169,-0.21796485853119543,-0.301718227371782
83347,cor,0.5893554336380695,0.7483283918442943,0.7112748510694374,0.4713643036478231,0.5416482970510278,0.5319485547080107,0.5520751306124096,0.6455878482340202,0.6451145261813407,0.44156695533256884,0.17233938207788113
83737,cor,0.21158850000760152,0.6838356681364264,0.5490638983302485,0.43199626427437204,0.5851918357145434,0.6446750475846129,0.41080478824177424,0.5607917763061063,0.47220721434090995,0.4604361393071186,0.21398258578536178
84876,cor,0.4117692737526976,0.7283752280288404,0.6701524726272718,nan,0.7876977247074515,0.8508651720718335,0.8136018493260627,0.5840023151105889,0.6887093309473704,0.6786168070581278,0.46727971508442834
